Staten Island Rolling Sales File.  All Sales From March 2016 - February 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 3/9/2017  Co-op Sales Files as of 3/10/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6349,38, ,A1,115 BENNETT PLACE                        ,            ,10312, 1 , -   , 1 ," 9,960 "," 5,400 ",1985,1,A1,"1,125,000",09/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6352,17, ,A1,472 HOLDRIDGE AVENUE                     ,            ,10312, 1 , -   , 1 ," 6,000 "," 3,178 ",1985,1,A1,"800,000",08/11/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6354,36, ,A2,673 BARCLAY AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,120 ",1930,1,A2,"439,000",13/06/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6356,75, ,A1,4715 HYLAN BOULEVARD                     ,            ,10312, 1 , -   , 1 ," 3,911 "," 2,600 ",1995,1,A1,0,20/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6357,40, ,A1,24 BENNETT PLACE                         ,            ,10312, 1 , -   , 1 ," 12,000 "," 5,928 ",1985,1,A1,"1,175,000",05/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6360,54, ,A1,50 RYAN PLACE                            ,            ,10312, 1 , -   , 1 ," 6,000 "," 2,013 ",1984,1,A1,"630,000",20/06/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6364,37, ,A1,196 NOEL STREET                          ,            ,10312, 1 , -   , 1 ," 6,912 "," 2,420 ",1975,1,A1,0,18/01/17
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6367,3, ,A1,283 HOLDRIDGE AVENUE                     ,            ,10312, 1 , -   , 1 ," 4,120 "," 2,275 ",1975,1,A1,0,25/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6367,40, ,A1,291 SHIRLEY AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,070 ",1979,1,A1,"577,500",31/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6370,12, ,A1,158 WEAVER STREET                        ,            ,10312, 1 , -   , 1 ," 6,000 "," 2,600 ",1975,1,A1,"740,000",24/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6370,38, ,A1,272 HOLDRIDGE AVENUE                     ,            ,10312, 1 , -   , 1 ," 6,825 "," 2,672 ",1975,1,A1,"890,000",25/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6371,32, ,A1,118 JANSEN STREET                        ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,208 ",1970,1,A1,10,09/12/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6371,34, ,A1,114 JANSEN STREET                        ,            ,10312, 1 , -   , 1 ," 6,000 "," 3,691 ",1970,1,A1,0,25/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6373,38, ,A5,6 WINSLOW PLACE                          ,            ,10312, 1 , -   , 1 ," 7,301 "," 2,058 ",2015,1,A5,"651,680",28/07/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6373,40, ,A5,10 WINSLOW PLACE                         ,            ,10312, 1 , -   , 1 ," 3,442 "," 2,058 ",2015,1,A5,"646,588",05/07/16
